kegg.code	taxa.id
hsa	9606
ptr	9598
pps	9597
ggo	9593
pon	9601
nle	61853
mcc	9544
mcf	9541
csab	60711
rro	61622
rbb	61621
cjc	9483
sbq	27679
mmu	10090
10098	10098
rno	10116
cge	10029
10036	10036
ngi	1026970
hgl	10181
10141	10141
ccan	51338
ocu	9986
tup	246437
cfa	9612
9612	9612
aml	9646
umr	29073
oro	9707
fca	9685
ptg	9694
aju	32536
bta	9913
bom	72004
biu	9915
9901	9901
phd	59538
chx	9925
9925	9925
oas	9940
ssc	9823
cfr	419612
cdk	9838
bacu	9767
lve	118797
oor	9733
ecb	9796
epz	9798
eai	9793
myb	109478
myd	225400
hai	186990
rss	89399
pale	9402
lav	9785
tmu	9778
mdo	13616
shr	9305
oaa	9258
gga	9031
mgp	9103
cjo	93934
apla	8839
acyg	8845
tgu	59729
gfr	48883
fab	59894
phi	181119
pmaj	9157
ccae	156563
ccw	181096
fpg	8954
fch	345164
clv	8932
egz	188379
aam	8822
asn	38654
amj	8496
pss	13735
cmy	8469
cpic	8479
acs	28377
pvt	103695
pbi	176946
8725	8725
8724	8724
8730	8730
88087	88087
8707	8707
gja	146911
xla	8355
xtr	8364
npr	125878
8387	8387
dre	7955
srx	307959
sanh	1608454
sgh	75366
ccar	7962
ipu	7998
amex	7994
tru	31033
tng	99883
lco	215358
ncc	8208
mze	106582
ola	8090
xma	8083
pret	8081
nfu	105023
kmr	37003
csem	244447
lcf	8187
sdu	41447
hcq	109280
bpec	150288
malb	43700
sasa	8030
otw	74940
8022	8022
els	8010
sfm	113540
7937	7937
lcm	7897
cmk	7868
bfo	7739
cin	7719
7729	7729
spu	7668
7656	7656
aplc	133434
sko	10224
dme	7227
dpo	7237
dan	7217
der	7220
dpe	7234
dse	7238
dsi	7240
dwi	7260
dya	7245
dgr	7222
dmo	7230
dvi	7244
mde	7370
7389	7389
aga	7165
aag	7159
cqu	7176
ame	7460
bim	132113
bter	30195
soc	13686
aec	103372
acep	12957
pbar	144034
hst	610380
dqu	609295
cfo	104421
lhu	83485
pgc	219809
pcf	91411
nvi	7425
mdl	69319
tca	7070
dpa	77166
102803	102803
nvl	110193
27446	27446
bmor	7091
dpl	13037
pmac	76193
prap	64459
haw	29058
179666	179666
pxy	51655
7137	7137
api	7029
dnx	143948
clec	79782
13249	13249
phu	121225
zne	136037
6984	6984
fcd	158441
dpx	6669
32278	32278
6715	6715
727944	727944
isc	6945
tut	32264
6853	6853
1551368	1551368
cel	6239
cbr	6238
nai	51031
bmy	6279
loa	7209
6253	6253
tsp	6334
hro	6412
lgi	225164
crg	29159
