Category			Species		Count
Animals	Vertebrates	Mammals	Homo sapiens	9606	1
			Pan troglodytes	9598	1
			Pan paniscus	9597	1
			Gorilla gorilla	9593	1
			Pongo abelii	9601	1
			Nomascus leucogenys	61853	1
			Macaca mulatta	9544	1
			Macaca fascicularis	9541	1
			Chlorocebus sabaeus	60711	1
			Rhinopithecus roxellana	61622	1
			Rhinopithecus bieti	61621	1
			Callithrix jacchus	9483	1
			Saimiri boliviensis	27679	1
			Mus musculus	10090	1
			Rattus norvegicus	10116	1
			Cricetulus griseus	10029	1
			Nannospalax galili	1026970	1
			Heterocephalus glaber	10181	1
			Castor canadensis	51338	1
			Oryctolagus cuniculus	9986	1
			Tupaia chinensis	246437	1
			Canis lupus	9612	1
			Ailuropoda melanoleuca	9646	1
			Ursus maritimus	29073	1
			Odobenus rosmarus	9707	1
			Felis catus	9685	1
			Panthera tigris	9694	1
			Acinonyx jubatus	32536	1
			Bos taurus	9913	1
			Bos mutus	72004	1
			Bos indicus	9915	1
			Pantholops hodgsonii	59538	1
			Capra hircus	9925	1
			Ovis aries	9940	1
			Sus scrofa	9823	1
			Camelus ferus	419612	1
			Camelus dromedarius	9838	1
			Balaenoptera acutorostrata	9767	1
			Lipotes vexillifer	118797	1
			Orcinus orca	9733	1
			Equus caballus	9796	1
			Equus przewalskii	9798	1
			Equus asinus	9793	1
			Myotis brandtii	109478	1
			Myotis davidii	225400	1
			Hipposideros armiger	186990	1
			Rhinolophus sinicus	89399	1
			Pteropus alecto	9402	1
			Loxodonta africana	9785	1
			Trichechus manatus	9778	1
			Monodelphis domestica	13616	1
			Sarcophilus harrisii	9305	1
			Ornithorhynchus anatinus	9258	1
		Birds	Gallus gallus	9031	1
			Meleagris gallopavo	9103	1
			Coturnix japonica	93934	1
			Anas platyrhynchos	8839	1
			Anser cygnoides	8845	1
			Taeniopygia guttata	59729	1
			Geospiza fortis	48883	1
			Ficedula albicollis	59894	1
			Pseudopodoces humilis	181119	1
			Parus major	9157	1
			Cyanistes caeruleus	156563	1
			Corvus cornix	181096	1
			Falco peregrinus	8954	1
			Falco cherrug	345164	1
			Columba livia	8932	1
			Egretta garzetta	188379	1
			Apteryx australis	8822	1
		Reptiles	Alligator sinensis	38654	1
			Alligator mississippiensis	8496	1
			Pelodiscus sinensis	13735	1
			Chelonia mydas	8469	1
			Chrysemys picta	8479	1
			Anolis carolinensis	28377	1
			Pogona vitticeps	103695	1
			Python bivittatus	176946	1
			Gekko japonicus	146911	1
		Amphibians	Xenopus laevis	8355	1
			Xenopus (Silurana) tropicalis	8364	1
			Nanorana parkeri	125878	1
		Fishes	Danio rerio	7955	1
			Sinocyclocheilus rhinocerous	307959	1
			Sinocyclocheilus anshuiensis	1608454	1
			Sinocyclocheilus grahami	75366	1
			Cyprinus carpio	7962	1
			Ictalurus punctatus	7998	1
			Astyanax mexicanus	7994	1
			Takifugu rubripes	31033	1
			Tetraodon nigroviridis	99883	1
			Larimichthys crocea	215358	1
			Notothenia coriiceps	8208	1
			Maylandia zebra	106582	1
			Oryzias latipes	8090	1
			Xiphophorus maculatus	8083	1
			Poecilia reticulata	8081	1
			Nothobranchius furzeri	105023	1
			Kryptolebias marmoratus	37003	1
			Cynoglossus semilaevis	244447	1
			Lates calcarifer	8187	1
			Seriola dumerili	41447	1
			Hippocampus comes	109280	1
			Boleophthalmus pectinirostris	150288	1
			Monopterus albus	43700	1
			Salmo salar	8030	1
			Oncorhynchus tshawytscha	74940	1
			Esox lucius	8010	1
			Scleropages formosus	113540	1
			Latimeria chalumnae	7897	1
		Cartilaginous fishes	Callorhinchus milii	7868	1
	Lancelets		Branchiostoma floridae	7739	1
	Ascidians		Ciona intestinalis	7719	1
	Echinoderms		Strongylocentrotus purpuratus	7668	1
			Acanthaster planci	133434	1
	Hemichordates		Saccoglossus kowalevskii	10224	1
	Arthropods	Insects	Drosophila melanogaster	7227	1
			Drosophila pseudoobscura	7237	1
			Drosophila ananassae	7217	1
			Drosophila erecta	7220	1
			Drosophila persimilis	7234	1
			Drosophila sechellia	7238	1
			Drosophila simulans	7240	1
			Drosophila willistoni	7260	1
			Drosophila yakuba	7245	1
			Drosophila grimshawi	7222	1
			Drosophila mojavensis	7230	1
			Drosophila virilis	7244	1
			Musca domestica	7370	1
			Anopheles gambiae	7165	1
			Aedes aegypti	7159	1
			Culex quinquefasciatus	7176	1
			Apis mellifera	7460	1
			Bombus impatiens	132113	1
			Bombus terrestris	30195	1
