name	taxid
Azorhizobium_caulinodans	7
Buchnera_aphidicola	9
Cellulomonas_gilvus	11
Dictyoglomus_thermophilum	14
Pelobacter_carbinolicus	19
Shewanella_putrefaciens	24
Myxococcus_fulvus	33
Myxococcus_xanthus	34
Myxococcus_macrosporus	35
Stigmatella_aurantiaca	41
Cystobacter_fuscus	43
Archangium_gephyra	48
Chondromyces_crocatus	52
Sorangium_cellulosum	56
Vitreoscilla_filiformis	63
Herpetosiphon_aurantiacus	65
Lysobacter_enzymogenes	69
Simonsiella_muelleri	72
Cyclobacterium_marinum	104
Runella_slithyformis	106
Spirosoma_linguale	108
Gemmata_obscuriglobus	114
Rubinisphaera_brasiliensis	119
Planctopirus_limnophila	120
Pirellula_staleyi	125
Isosphaera_pallida	128
Borreliella_burgdorferi	139
Borrelia_hermsii	140
Borrelia_parkeri	141
Borrelia_turicatae	142
Borrelia_anserina	143
Spirochaeta_thermophila	154
Treponema_denticola	158
Brachyspira_hyodysenteriae	159
Treponema_pallidum	160
Treponema_succinifaciens	167
Leptospira_biflexa	172
Leptospira_interrogans	173
Leptospira_borgpetersenii	174
Leptospirillum_ferrooxidans	180
Azospirillum_brasilense	192
Azospirillum_lipoferum	193
Campylobacter_coli	195
Campylobacter_fetus	196
Campylobacter_jejuni	197
Campylobacter_hyointestinalis	198
Campylobacter_concisus	199
Campylobacter_curvus	200
Campylobacter_lari	201
Campylobacter_sputorum	206
Helicobacter_pylori	210
Helicobacter_acinonychis	212
Helicobacter_cinaedi	213
Helicobacter_felis	214
Helicobacter_mustelae	217
Pseudoalteromonas_haloplanktis	228
Brucella_abortus	235
Brucella_ovis	236
Elizabethkingia_meningoseptica	238
Chryseobacterium_indologenes	253
Francisella_tularensis	263
Paracoccus_denitrificans	266
Thermus_aquaticus	271
Thermus_thermophilus	274
Meiothermus_ruber	277
Xanthobacter_autotrophicus	280
Comamonas_testosteroni	285
Pseudomonas_aeruginosa	287
Pseudoalteromonas_atlantica	288
Burkholderia_cepacia	292
Pseudomonas_fluorescens	294
Pseudomonas_fragi	296
Hydrogenophilus_thermoluteolus	297
Pseudomonas_mendocina	300
Pseudomonas_putida	303
Ralstonia_solanacearum	305
Pseudomonas_stutzeri	316
Pseudomonas_syringae	317
Ralstonia_pickettii	329
Pseudomonas_pseudoalcaligenes	330
Burkholderia_glumae	337
Xanthomonas_campestris	339
Xanthomonas_translucens	343
Xanthomonas_citri	346
Xanthomonas_oryzae	347
Azotobacter_chroococcum	353
Azotobacter_vinelandii	354
Agrobacterium_tumefaciens	358
Agrobacterium_rhizogenes	359
Agrobacterium_vitis	373
Bradyrhizobium_japonicum	375
Bradyrhizobium_sp.	376
Sinorhizobium_fredii	380
Mesorhizobium_loti	381
Sinorhizobium_meliloti	382
Rhizobium_leguminosarum	384
Rhizobium_phaseoli	396
Rhizobium_tropici	398
Neorhizobium_galegae	399
Methylobacillus_flagellatus	405
Methylorubrum_extorquens	408
Methylococcus_capsulatus	414
Methylomonas_methanica	421
Methylosinus_trichosporium	426
Acetobacter_aceti	435
Acetobacter_pasteurianus	438
Gluconobacter_oxydans	442
Legionella_pneumophila	446
Legionella_hackeliae	449
Legionella_longbeachae	450
Tatlockia_micdadei	451
Acinetobacter_baumannii	470
Acinetobacter_calcoaceticus	471
Moraxella_bovis	476
Moraxella_catarrhalis	480
Neisseria_gonorrhoeae	485
Neisseria_lactamica	486
Neisseria_meningitidis	487
Neisseria_mucosa	488
Neisseria_sicca	490
Neisseria_elongata	495
Thermomicrobium_roseum	500
Kingella_kingae	504
Alcaligenes_faecalis	511
Bordetella_bronchiseptica	518
Bordetella_parapertussis	519
Bordetella_pertussis	520
Bordetella_avium	521
Acidiphilium_cryptum	524
Ochrobactrum_anthropi	529
Beijerinckia_indica	533
