Guillardia theta
Symbiodinium minutum
Tetrahymena thermophila
Paramecium tetraurelia
Theileria orientalis
Theileria parva
Theileria annulata
Theileria equi
Babesia microti
Babesia bovis
Plasmodium falciparum
Plasmodium vivax
Plasmodium knowlesi
Plasmodium cynomolgi
Plasmodium (Plasmodium)
Plasmodium yoelii
Plasmodium chabaudi
Plasmodium berghei
Plasmodium (Vinckeia)
Toxoplasma gondii
Cryptosporidium hominis
Cryptosporidium parvum
Naegleria gruberi
Cavenderia fasciculata
Dictyostelium discoideum
Dictyostelium purpureum
Entamoeba dispar
Entamoeba invadens
Entamoeba histolytica
Acanthamoeba castellanii
Giardia intestinalis
Trichomonas vaginalis
Trypanosoma cruzi
Trypanosoma brucei
Leishmania mexicana
Leishmania major
Leishmania infantum
Leishmania donovani
Leishmania donovani species complex
Leishmania braziliensis
Salpingoeca rosetta
Monosiga brevicollis
Amphimedon queenslandica
Trichoplax adhaerens
Saccoglossus kowalevskii
Scleropages formosus
Boleophthalmus pectinirostris
Hippocampus comes
Monopterus albus
Larimichthys crocea
Tetraodon nigroviridis
Takifugu rubripes
Notothenia coriiceps
Cynoglossus semilaevis
Seriola dumerili
Lates calcarifer
Maylandia zebra
Oryzias latipes
Nothobranchius furzeri
Kryptolebias marmoratus
Xiphophorus maculatus
Poecilia reticulata
Oncorhynchus tshawytscha
Salmo salar
Esox lucius
Ictalurus punctatus
Astyanax mexicanus
Sinocyclocheilus anshuiensis
Sinocyclocheilus rhinocerous
Sinocyclocheilus grahami
Cyprinus carpio
Danio rerio
Loxodonta africana
Trichechus manatus
Tupaia chinensis
Castor canadensis
Heterocephalus glaber
Nannospalax galili
Rattus norvegicus
Mus musculus
Cricetulus griseus
Oryctolagus cuniculus
Nomascus leucogenys
Pongo abelii
Homo sapiens
Pan troglodytes
Pan paniscus
Gorilla gorilla
Rhinopithecus roxellana
Rhinopithecus bieti
Chlorocebus sabaeus
Macaca mulatta
Macaca fascicularis
Saimiri boliviensis
Callithrix jacchus
Equus przewalskii
Equus caballus
Equus asinus
Pantholops hodgsonii
Ovis aries
Capra hircus
Bos mutus
Bos indicus
Bos taurus
Camelus ferus
Camelus dromedarius
Sus scrofa
Balaenoptera acutorostrata
Lipotes vexillifer
Orcinus orca
Acinonyx jubatus
Panthera tigris
Felis catus
Odobenus rosmarus
Ursus maritimus
Ailuropoda melanoleuca
Canis lupus
Hipposideros armiger
Myotis davidii
Myotis brandtii
Rhinolophus sinicus
Pteropus alecto
Monodelphis domestica
Sarcophilus harrisii
Ornithorhynchus anatinus
Gekko japonicus
Python bivittatus
Pogona vitticeps
Anolis carolinensis
Egretta garzetta
Corvus cornix
Ficedula albicollis
Taeniopygia guttata
Geospiza fortis
Pseudopodoces humilis
Cyanistes caeruleus
Parus major
Falco cherrug
Falco peregrinus
Columba livia
Coturnix japonica
Meleagris gallopavo
Gallus gallus
Anser cygnoides
Anas platyrhynchos
Apteryx australis
Alligator sinensis
Alligator mississippiensis
