"id"	"label"	"class"
"6 state variables id:1"	"P@Y1197"	"state variable"
"6 state variables id:1"	"P@Y1110"	"state variable"
"6 state variables id:1"	"P@Y1172"	"state variable"
"6 state variables id:1"	"P@Y1092"	"state variable"
"6 state variables id:1"	"P@Y1069"	"state variable"
"6 state variables id:1"	"P@Y1016"	"state variable"
"5 state variables id:2"	"P@Y1242"	"state variable"
"5 state variables id:2"	"P@Y1035"	"state variable"
"5 state variables id:2"	"P@Y1188"	"state variable"
"5 state variables id:2"	"P@Y1128"	"state variable"
"5 state variables id:2"	"P@Y1056"	"state variable"
"8 state variables id:3"	"Act"	"state variable"
"8 state variables id:3"	"P@Y1222"	"state variable"
"8 state variables id:3"	"P@Y1289"	"state variable"
"8 state variables id:3"	"P@Y1260"	"state variable"
"8 state variables id:3"	"P@Y1328"	"state variable"
"8 state variables id:3"	"P@Y1054"	"state variable"
"8 state variables id:3"	"P@Y1276"	"state variable"
"8 state variables id:3"	"P@Y1197"	"state variable"
"7 state variables id:4"	"P@Y1222"	"state variable"
"7 state variables id:4"	"P@Y1289"	"state variable"
"7 state variables id:4"	"P@Y1260"	"state variable"
"7 state variables id:4"	"P@Y1328"	"state variable"
"7 state variables id:4"	"P@Y1054"	"state variable"
"7 state variables id:4"	"P@Y1276"	"state variable"
"7 state variables id:4"	"P@Y1197"	"state variable"
"7 state variables id:5"	"P@Y1222"	"state variable"
"7 state variables id:5"	"P@Y1289"	"state variable"
"7 state variables id:5"	"P@Y1260"	"state variable"
"7 state variables id:5"	"P@Y1328"	"state variable"
"7 state variables id:5"	"P@Y1054"	"state variable"
"7 state variables id:5"	"P@Y1276"	"state variable"
"7 state variables id:5"	"P@Y1197"	"state variable"
"6 state variables id:6"	"P@Y1197"	"state variable"
"6 state variables id:6"	"P@Y1110"	"state variable"
"6 state variables id:6"	"P@Y1172"	"state variable"
"6 state variables id:6"	"P@Y1092"	"state variable"
"6 state variables id:6"	"P@Y1069"	"state variable"
"6 state variables id:6"	"P@Y1016"	"state variable"
"6 state variables id:7"	"P@Y1197"	"state variable"
"6 state variables id:7"	"P@Y1110"	"state variable"
"6 state variables id:7"	"P@Y1172"	"state variable"
"6 state variables id:7"	"P@Y1092"	"state variable"
"6 state variables id:7"	"P@Y1069"	"state variable"
"6 state variables id:7"	"P@Y1016"	"state variable"
"5 state variables id:8"	"P@Y1197"	"state variable"
"5 state variables id:8"	"P@Y1110"	"state variable"
"5 state variables id:8"	"P@Y1172"	"state variable"
"5 state variables id:8"	"Act"	"state variable"
"5 state variables id:8"	"P@Y1092"	"state variable"
"6 state variables id:9"	"P@Y1197"	"state variable"
"6 state variables id:9"	"P@Y1110"	"state variable"
"6 state variables id:9"	"P@Y1172"	"state variable"
"6 state variables id:9"	"P@Y1092"	"state variable"
"6 state variables id:9"	"P@Y1069"	"state variable"
"6 state variables id:9"	"P@Y1016"	"state variable"
"6 state variables id:10"	"P@Y1197"	"state variable"
"6 state variables id:10"	"P@Y1110"	"state variable"
"6 state variables id:10"	"P@Y1172"	"state variable"
"6 state variables id:10"	"P@Y1092"	"state variable"
"6 state variables id:10"	"P@Y1069"	"state variable"
"6 state variables id:10"	"P@Y1016"	"state variable"
"6 state variables id:11"	"P@Y1197"	"state variable"
"6 state variables id:11"	"P@Y1110"	"state variable"
"6 state variables id:11"	"P@Y1172"	"state variable"
"6 state variables id:11"	"P@Y1092"	"state variable"
"6 state variables id:11"	"P@Y1069"	"state variable"
"6 state variables id:11"	"P@Y1016"	"state variable"
"6 state variables id:12"	"P@Y1197"	"state variable"
"6 state variables id:12"	"P@Y1110"	"state variable"
"6 state variables id:12"	"P@Y1172"	"state variable"
"6 state variables id:12"	"P@Y1092"	"state variable"
"6 state variables id:12"	"P@Y1069"	"state variable"
"6 state variables id:12"	"P@Y1016"	"state variable"
"6 state variables id:13"	"P@Y1197"	"state variable"
"6 state variables id:13"	"P@Y1110"	"state variable"
"6 state variables id:13"	"P@Y1172"	"state variable"
"6 state variables id:13"	"P@Y1092"	"state variable"
"6 state variables id:13"	"P@Y1069"	"state variable"
"6 state variables id:13"	"P@Y1016"	"state variable"
"6 state variables id:14"	"P@Y1197"	"state variable"
"6 state variables id:14"	"P@Y1110"	"state variable"
"6 state variables id:14"	"P@Y1172"	"state variable"
"6 state variables id:14"	"P@Y1092"	"state variable"
"6 state variables id:14"	"P@Y1069"	"state variable"
"6 state variables id:14"	"P@Y1016"	"state variable"
"5 state variables id:15"	"P@Y1128"	"state variable"
"5 state variables id:15"	"P@Y1188"	"state variable"
"5 state variables id:15"	"P@Y1056"	"state variable"
"5 state variables id:15"	"P@Y1035"	"state variable"
"5 state variables id:15"	"P@Y1242"	"state variable"
"6 state variables id:16"	"P@Y1197"	"state variable"
"6 state variables id:16"	"P@Y1110"	"state variable"
"6 state variables id:16"	"P@Y1172"	"state variable"
"6 state variables id:16"	"P@Y1092"	"state variable"
"6 state variables id:16"	"P@Y1069"	"state variable"
"6 state variables id:16"	"P@Y1016"	"state variable"
"6 state variables id:17"	"P@Y1197"	"state variable"
"6 state variables id:17"	"P@Y1110"	"state variable"
"6 state variables id:17"	"P@Y1172"	"state variable"
"6 state variables id:17"	"P@Y1092"	"state variable"
"6 state variables id:17"	"P@Y1069"	"state variable"
"6 state variables id:17"	"P@Y1016"	"state variable"
