"id"	"label"	"class"
"6 state variables id:1"	"P@Y96"	"state variable"
"6 state variables id:1"	"Act"	"state variable"
"6 state variables id:1"	"P@Y84"	"state variable"
"6 state variables id:1"	"P@Y178"	"state variable"
"6 state variables id:1"	"P@Y72"	"state variable"
"6 state variables id:1"	"P@Y189"	"state variable"
"6 state variables id:2"	"P@Y96"	"state variable"
"6 state variables id:2"	"Act"	"state variable"
"6 state variables id:2"	"P@Y84"	"state variable"
"6 state variables id:2"	"P@Y178"	"state variable"
"6 state variables id:2"	"P@Y72"	"state variable"
"6 state variables id:2"	"P@Y189"	"state variable"
"5 state variables id:3"	"P@Y842"	"state variable"
"5 state variables id:3"	"Act"	"state variable"
"5 state variables id:3"	"P@Y807"	"state variable"
"5 state variables id:3"	"P@Y822"	"state variable"
"5 state variables id:3"	"P@Y762"	"state variable"
"6 state variables id:4"	"P@Y96"	"state variable"
"6 state variables id:4"	"Act"	"state variable"
"6 state variables id:4"	"P@Y84"	"state variable"
"6 state variables id:4"	"P@Y178"	"state variable"
"6 state variables id:4"	"P@Y72"	"state variable"
"6 state variables id:4"	"P@Y189"	"state variable"
"6 state variables id:5"	"P@Y96"	"state variable"
"6 state variables id:5"	"Act"	"state variable"
"6 state variables id:5"	"P@Y84"	"state variable"
"6 state variables id:5"	"P@Y178"	"state variable"
"6 state variables id:5"	"P@Y72"	"state variable"
"6 state variables id:5"	"P@Y189"	"state variable"
