"id"	"label"	"class"
"5 state variables id:1"	"P@S99"	"state variable"
"5 state variables id:1"	"P@S134"	"state variable"
"5 state variables id:1"	"P@S118"	"state variable"
"5 state variables id:1"	"Act"	"state variable"
"5 state variables id:1"	"P@S75"	"state variable"
"5 state variables id:2"	"P@S631"	"state variable"
"5 state variables id:2"	"P@S801"	"state variable"
"5 state variables id:2"	"P@S629"	"state variable"
"5 state variables id:2"	"Act"	"state variable"
"5 state variables id:2"	"P@S805"	"state variable"
