"id"	"label"	"class"
"5 state variables id:1"	"P@Y575"	"state variable"
"5 state variables id:1"	"P@Y497"	"state variable"
"5 state variables id:1"	"P@Y603"	"state variable"
"5 state variables id:1"	"P@Y631"	"state variable"
"5 state variables id:1"	"P@Y713"	"state variable"
"5 state variables id:2"	"P@Y575"	"state variable"
"5 state variables id:2"	"P@Y497"	"state variable"
"5 state variables id:2"	"P@Y603"	"state variable"
"5 state variables id:2"	"P@Y631"	"state variable"
"5 state variables id:2"	"P@Y713"	"state variable"
"5 state variables id:3"	"P@Y575"	"state variable"
"5 state variables id:3"	"P@Y497"	"state variable"
"5 state variables id:3"	"P@Y603"	"state variable"
"5 state variables id:3"	"P@Y631"	"state variable"
"5 state variables id:3"	"P@Y713"	"state variable"
"5 state variables id:4"	"P@Y575"	"state variable"
"5 state variables id:4"	"P@Y497"	"state variable"
"5 state variables id:4"	"P@Y603"	"state variable"
"5 state variables id:4"	"P@Y631"	"state variable"
"5 state variables id:4"	"P@Y713"	"state variable"
"5 state variables id:5"	"P@Y575"	"state variable"
"5 state variables id:5"	"P@Y497"	"state variable"
"5 state variables id:5"	"P@Y603"	"state variable"
"5 state variables id:5"	"P@Y631"	"state variable"
"5 state variables id:5"	"P@Y713"	"state variable"
"5 state variables id:6"	"P@Y575"	"state variable"
"5 state variables id:6"	"P@Y497"	"state variable"
"5 state variables id:6"	"P@Y603"	"state variable"
"5 state variables id:6"	"P@Y631"	"state variable"
"5 state variables id:6"	"P@Y713"	"state variable"
"5 state variables id:7"	"P@Y575"	"state variable"
"5 state variables id:7"	"P@Y497"	"state variable"
"5 state variables id:7"	"P@Y603"	"state variable"
"5 state variables id:7"	"P@Y631"	"state variable"
"5 state variables id:7"	"P@Y713"	"state variable"
"5 state variables id:8"	"P@Y575"	"state variable"
"5 state variables id:8"	"P@Y497"	"state variable"
"5 state variables id:8"	"P@Y603"	"state variable"
"5 state variables id:8"	"P@Y631"	"state variable"
"5 state variables id:8"	"P@Y713"	"state variable"
"5 state variables id:9"	"P@Y575"	"state variable"
"5 state variables id:9"	"P@Y497"	"state variable"
"5 state variables id:9"	"P@Y603"	"state variable"
"5 state variables id:9"	"P@Y631"	"state variable"
"5 state variables id:9"	"P@Y713"	"state variable"
