"id"	"label"	"class"
"5 state variables id:1"	"P@Y536"	"state variable"
"5 state variables id:1"	"P@Y384"	"state variable"
"5 state variables id:1"	"P@Y418"	"state variable"
"5 state variables id:1"	"P@Y387"	"state variable"
"5 state variables id:1"	"P@Y381"	"state variable"
"6 state variables id:2"	"P@Y536"	"state variable"
"6 state variables id:2"	"P@Y364"	"state variable"
"6 state variables id:2"	"P@Y418"	"state variable"
"6 state variables id:2"	"P@Y384"	"state variable"
"6 state variables id:2"	"P@Y387"	"state variable"
"6 state variables id:2"	"P@Y381"	"state variable"
