"id"	"label"	"class"
"10 state variables id:1"	"P@Y1313"	"state variable"
"10 state variables id:1"	"P@Y1230"	"state variable"
"10 state variables id:1"	"P@Y1093"	"state variable"
"10 state variables id:1"	"P@Y1356"	"state variable"
"10 state variables id:1"	"P@Y1349"	"state variable"
"10 state variables id:1"	"P@Y1235"	"state variable"
"10 state variables id:1"	"P@S956"	"state variable"
"10 state variables id:1"	"Act"	"state variable"
"10 state variables id:1"	"P@Y1234"	"state variable"
"10 state variables id:1"	"P@Y1365"	"state variable"
"10 state variables id:2"	"P@Y1313"	"state variable"
"10 state variables id:2"	"P@Y1230"	"state variable"
"10 state variables id:2"	"P@Y1093"	"state variable"
"10 state variables id:2"	"P@Y1356"	"state variable"
"10 state variables id:2"	"P@Y1349"	"state variable"
"10 state variables id:2"	"P@Y1235"	"state variable"
"10 state variables id:2"	"P@S956"	"state variable"
"10 state variables id:2"	"Act"	"state variable"
"10 state variables id:2"	"P@Y1234"	"state variable"
"10 state variables id:2"	"P@Y1365"	"state variable"
