"id"	"label"	"class"
"10 state variables id:1"	"P@Y900"	"state variable"
"10 state variables id:1"	"P@Y809"	"state variable"
"10 state variables id:1"	"Act"	"state variable"
"10 state variables id:1"	"P@Y1096"	"state variable"
"10 state variables id:1"	"P@Y1015"	"state variable"
"10 state variables id:1"	"P@Y981"	"state variable"
"10 state variables id:1"	"P@Y905"	"state variable"
"10 state variables id:1"	"P@Y806"	"state variable"
"10 state variables id:1"	"P@Y1062"	"state variable"
"10 state variables id:1"	"P@Y1090"	"state variable"
"11 state variables id:2"	"P@Y900"	"state variable"
"11 state variables id:2"	"P@Y809"	"state variable"
"11 state variables id:2"	"Act"	"state variable"
"11 state variables id:2"	"P@Y1096"	"state variable"
"11 state variables id:2"	"P@S696"	"state variable"
"11 state variables id:2"	"P@Y1015"	"state variable"
"11 state variables id:2"	"P@Y981"	"state variable"
"11 state variables id:2"	"P@Y905"	"state variable"
"11 state variables id:2"	"P@Y806"	"state variable"
"11 state variables id:2"	"P@Y1062"	"state variable"
"11 state variables id:2"	"P@Y1090"	"state variable"
"10 state variables id:3"	"P@Y900"	"state variable"
"10 state variables id:3"	"P@Y809"	"state variable"
"10 state variables id:3"	"Act"	"state variable"
"10 state variables id:3"	"P@Y1096"	"state variable"
"10 state variables id:3"	"P@Y1015"	"state variable"
"10 state variables id:3"	"P@Y981"	"state variable"
"10 state variables id:3"	"P@Y905"	"state variable"
"10 state variables id:3"	"P@Y806"	"state variable"
"10 state variables id:3"	"P@Y1062"	"state variable"
"10 state variables id:3"	"P@Y1090"	"state variable"
"10 state variables id:4"	"P@Y900"	"state variable"
"10 state variables id:4"	"P@Y809"	"state variable"
"10 state variables id:4"	"Act"	"state variable"
"10 state variables id:4"	"P@Y1096"	"state variable"
"10 state variables id:4"	"P@Y1015"	"state variable"
"10 state variables id:4"	"P@Y981"	"state variable"
"10 state variables id:4"	"P@Y905"	"state variable"
"10 state variables id:4"	"P@Y806"	"state variable"
"10 state variables id:4"	"P@Y1062"	"state variable"
"10 state variables id:4"	"P@Y1090"	"state variable"
"10 state variables id:5"	"P@Y900"	"state variable"
"10 state variables id:5"	"P@Y809"	"state variable"
"10 state variables id:5"	"Act"	"state variable"
"10 state variables id:5"	"P@Y1096"	"state variable"
"10 state variables id:5"	"P@Y1015"	"state variable"
"10 state variables id:5"	"P@Y981"	"state variable"
"10 state variables id:5"	"P@Y905"	"state variable"
"10 state variables id:5"	"P@Y806"	"state variable"
"10 state variables id:5"	"P@Y1062"	"state variable"
"10 state variables id:5"	"P@Y1090"	"state variable"
"10 state variables id:6"	"P@Y900"	"state variable"
"10 state variables id:6"	"P@Y809"	"state variable"
"10 state variables id:6"	"Act"	"state variable"
"10 state variables id:6"	"P@Y1096"	"state variable"
"10 state variables id:6"	"P@Y1015"	"state variable"
"10 state variables id:6"	"P@Y981"	"state variable"
"10 state variables id:6"	"P@Y905"	"state variable"
"10 state variables id:6"	"P@Y806"	"state variable"
"10 state variables id:6"	"P@Y1062"	"state variable"
"10 state variables id:6"	"P@Y1090"	"state variable"
"10 state variables id:7"	"P@Y900"	"state variable"
"10 state variables id:7"	"P@Y809"	"state variable"
"10 state variables id:7"	"Act"	"state variable"
"10 state variables id:7"	"P@Y1096"	"state variable"
"10 state variables id:7"	"P@Y1015"	"state variable"
"10 state variables id:7"	"P@Y981"	"state variable"
"10 state variables id:7"	"P@Y905"	"state variable"
"10 state variables id:7"	"P@Y806"	"state variable"
"10 state variables id:7"	"P@Y1062"	"state variable"
"10 state variables id:7"	"P@Y1090"	"state variable"
"10 state variables id:8"	"P@Y900"	"state variable"
