"id"	"label"	"class"
"5 state variables id:1"	"phosphorylated@631"	"state variable"
"5 state variables id:1"	"phosphorylated@603"	"state variable"
"5 state variables id:1"	"phosphorylated@575"	"state variable"
"5 state variables id:1"	"phosphorylated@713"	"state variable"
"5 state variables id:1"	"phosphorylated@497"	"state variable"
"5 state variables id:2"	"phosphorylated@497"	"state variable"
"5 state variables id:2"	"phosphorylated@575"	"state variable"
"5 state variables id:2"	"phosphorylated@713"	"state variable"
"5 state variables id:2"	"phosphorylated@631"	"state variable"
"5 state variables id:2"	"phosphorylated@603"	"state variable"
"5 state variables id:3"	"phosphorylated@631"	"state variable"
"5 state variables id:3"	"phosphorylated@603"	"state variable"
"5 state variables id:3"	"phosphorylated@497"	"state variable"
"5 state variables id:3"	"phosphorylated@713"	"state variable"
"5 state variables id:3"	"phosphorylated@575"	"state variable"
"5 state variables id:4"	"phosphorylated@603"	"state variable"
"5 state variables id:4"	"phosphorylated@713"	"state variable"
"5 state variables id:4"	"phosphorylated@631"	"state variable"
"5 state variables id:4"	"phosphorylated@497"	"state variable"
"5 state variables id:4"	"phosphorylated@575"	"state variable"
"5 state variables id:5"	"phosphorylated@631"	"state variable"
"5 state variables id:5"	"phosphorylated@497"	"state variable"
"5 state variables id:5"	"phosphorylated@603"	"state variable"
"5 state variables id:5"	"phosphorylated@575"	"state variable"
"5 state variables id:5"	"phosphorylated@713"	"state variable"
"5 state variables id:6"	"phosphorylated@631"	"state variable"
"5 state variables id:6"	"phosphorylated@575"	"state variable"
"5 state variables id:6"	"phosphorylated@497"	"state variable"
"5 state variables id:6"	"phosphorylated@603"	"state variable"
"5 state variables id:6"	"phosphorylated@713"	"state variable"
"5 state variables id:7"	"phosphorylated@497"	"state variable"
"5 state variables id:7"	"phosphorylated@575"	"state variable"
"5 state variables id:7"	"phosphorylated@603"	"state variable"
"5 state variables id:7"	"phosphorylated@631"	"state variable"
"5 state variables id:7"	"phosphorylated@713"	"state variable"
"5 state variables id:8"	"phosphorylated@631"	"state variable"
"5 state variables id:8"	"phosphorylated@575"	"state variable"
"5 state variables id:8"	"phosphorylated@713"	"state variable"
"5 state variables id:8"	"phosphorylated@497"	"state variable"
"5 state variables id:8"	"phosphorylated@603"	"state variable"
"5 state variables id:9"	"phosphorylated@575"	"state variable"
"5 state variables id:9"	"phosphorylated@713"	"state variable"
"5 state variables id:9"	"phosphorylated@603"	"state variable"
"5 state variables id:9"	"phosphorylated@631"	"state variable"
"5 state variables id:9"	"phosphorylated@497"	"state variable"
