"id"	"label"	"class"
"5 state variables id:1"	"phosphorylated@670"	"state variable"
"5 state variables id:1"	"phosphorylated@675"	"state variable"
"5 state variables id:1"	"phosphorylated@674"	"state variable"
"5 state variables id:1"	"phosphorylated@490"	"state variable"
"5 state variables id:1"	"phosphorylated@785"	"state variable"
"5 state variables id:2"	"phosphorylated@674"	"state variable"
"5 state variables id:2"	"phosphorylated@670"	"state variable"
"5 state variables id:2"	"phosphorylated@675"	"state variable"
"5 state variables id:2"	"phosphorylated@785"	"state variable"
"5 state variables id:2"	"phosphorylated@490"	"state variable"
