"id"	"label"	"class"
"7 state variables id:1"	"P@Y925"	"state variable"
"7 state variables id:1"	"P@Y577"	"state variable"
"7 state variables id:1"	"P@Y407"	"state variable"
"7 state variables id:1"	"Act"	"state variable"
"7 state variables id:1"	"P@Y397"	"state variable"
"7 state variables id:1"	"P@Y861"	"state variable"
"7 state variables id:1"	"P@Y576"	"state variable"
"7 state variables id:2"	"P@Y925"	"state variable"
"7 state variables id:2"	"P@Y577"	"state variable"
"7 state variables id:2"	"P@Y407"	"state variable"
"7 state variables id:2"	"Act"	"state variable"
"7 state variables id:2"	"P@Y397"	"state variable"
"7 state variables id:2"	"P@Y861"	"state variable"
"7 state variables id:2"	"P@Y576"	"state variable"
"7 state variables id:3"	"P@Y925"	"state variable"
"7 state variables id:3"	"P@Y577"	"state variable"
"7 state variables id:3"	"P@Y407"	"state variable"
"7 state variables id:3"	"Act"	"state variable"
"7 state variables id:3"	"P@Y397"	"state variable"
"7 state variables id:3"	"P@Y861"	"state variable"
"7 state variables id:3"	"P@Y576"	"state variable"
"7 state variables id:4"	"P@Y925"	"state variable"
"7 state variables id:4"	"P@Y577"	"state variable"
"7 state variables id:4"	"P@Y407"	"state variable"
"7 state variables id:4"	"Act"	"state variable"
"7 state variables id:4"	"P@Y397"	"state variable"
"7 state variables id:4"	"P@Y861"	"state variable"
"7 state variables id:4"	"P@Y576"	"state variable"
"7 state variables id:5"	"P@Y925"	"state variable"
"7 state variables id:5"	"P@Y577"	"state variable"
"7 state variables id:5"	"P@Y407"	"state variable"
"7 state variables id:5"	"Act"	"state variable"
"7 state variables id:5"	"P@Y397"	"state variable"
"7 state variables id:5"	"P@Y861"	"state variable"
"7 state variables id:5"	"P@Y576"	"state variable"
"7 state variables id:6"	"P@Y925"	"state variable"
"7 state variables id:6"	"P@Y577"	"state variable"
"7 state variables id:6"	"P@Y407"	"state variable"
"7 state variables id:6"	"Act"	"state variable"
"7 state variables id:6"	"P@Y397"	"state variable"
"7 state variables id:6"	"P@Y861"	"state variable"
"7 state variables id:6"	"P@Y576"	"state variable"
"7 state variables id:7"	"P@Y925"	"state variable"
"7 state variables id:7"	"P@Y577"	"state variable"
"7 state variables id:7"	"P@Y407"	"state variable"
"7 state variables id:7"	"Act"	"state variable"
"7 state variables id:7"	"P@Y397"	"state variable"
"7 state variables id:7"	"P@Y861"	"state variable"
"7 state variables id:7"	"P@Y576"	"state variable"
