"id"	"label"	"class"
"6 state variables id:1"	"Act"	"state variable"
"6 state variables id:1"	"P@Y767"	"state variable"
"6 state variables id:1"	"P@Y759"	"state variable"
"6 state variables id:1"	"P@Y915"	"state variable"
"6 state variables id:1"	"P@Y814"	"state variable"
"6 state variables id:1"	"P@Y905"	"state variable"
"6 state variables id:2"	"Act"	"state variable"
"6 state variables id:2"	"P@Y767"	"state variable"
"6 state variables id:2"	"P@Y759"	"state variable"
"6 state variables id:2"	"P@Y915"	"state variable"
"6 state variables id:2"	"P@Y814"	"state variable"
"6 state variables id:2"	"P@Y905"	"state variable"
"6 state variables id:3"	"Act"	"state variable"
"6 state variables id:3"	"P@Y767"	"state variable"
"6 state variables id:3"	"P@Y759"	"state variable"
"6 state variables id:3"	"P@Y915"	"state variable"
"6 state variables id:3"	"P@Y814"	"state variable"
"6 state variables id:3"	"P@Y905"	"state variable"
"6 state variables id:4"	"Act"	"state variable"
"6 state variables id:4"	"P@Y767"	"state variable"
"6 state variables id:4"	"P@Y759"	"state variable"
"6 state variables id:4"	"P@Y915"	"state variable"
"6 state variables id:4"	"P@Y814"	"state variable"
"6 state variables id:4"	"P@Y905"	"state variable"
"6 state variables id:5"	"Act"	"state variable"
"6 state variables id:5"	"P@Y767"	"state variable"
"6 state variables id:5"	"P@Y759"	"state variable"
"6 state variables id:5"	"P@Y915"	"state variable"
"6 state variables id:5"	"P@Y814"	"state variable"
"6 state variables id:5"	"P@Y905"	"state variable"
