"id"	"label"	"class"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:1"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"8 state variables id:2"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"8 state variables id:4"	"phosphorylated"	"state variable"
"5 state variables id:5"	"phosphorylated"	"state variable"
"5 state variables id:5"	"phosphorylated"	"state variable"
"5 state variables id:5"	"phosphorylated"	"state variable"
"5 state variables id:5"	"phosphorylated"	"state variable"
"5 state variables id:5"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:6"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"8 state variables id:7"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:9"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"8 state variables id:10"	"phosphorylated"	"state variable"
"5 state variables id:11"	"phosphorylated"	"state variable"
"5 state variables id:11"	"phosphorylated"	"state variable"
"5 state variables id:11"	"phosphorylated"	"state variable"
"5 state variables id:11"	"phosphorylated"	"state variable"
"5 state variables id:11"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:12"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:13"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"8 state variables id:14"	"phosphorylated"	"state variable"
"5 state variables id:15"	"phosphorylated"	"state variable"
"5 state variables id:15"	"phosphorylated"	"state variable"
"5 state variables id:15"	"phosphorylated"	"state variable"
"5 state variables id:15"	"phosphorylated"	"state variable"
"5 state variables id:15"	"phosphorylated"	"state variable"
"8 state variables id:16"	"phosphorylated"	"state variable"
"8 state variables id:16"	"phosphorylated"	"state variable"
"8 state variables id:16"	"phosphorylated"	"state variable"
"8 state variables id:16"	"phosphorylated"	"state variable"
