"id"	"label"	"class"
"5 state variables id:1"	"phosres"	"state variable"
"5 state variables id:1"	"phosres"	"state variable"
"5 state variables id:1"	"phosres"	"state variable"
"5 state variables id:1"	"phosres"	"state variable"
"5 state variables id:1"	"phosres"	"state variable"
"5 state variables id:2"	"phosres"	"state variable"
"5 state variables id:2"	"phosres"	"state variable"
"5 state variables id:2"	"phosres"	"state variable"
"5 state variables id:2"	"phosres"	"state variable"
"5 state variables id:2"	"phosres"	"state variable"
"5 state variables id:3"	"phosres"	"state variable"
"5 state variables id:3"	"phosres"	"state variable"
"5 state variables id:3"	"phosres"	"state variable"
"5 state variables id:3"	"phosres"	"state variable"
"5 state variables id:3"	"phosres"	"state variable"
"6 state variables id:4"	"phosres"	"state variable"
"6 state variables id:4"	"phosres"	"state variable"
"6 state variables id:4"	"phosres"	"state variable"
"6 state variables id:4"	"phosres"	"state variable"
"6 state variables id:4"	"phosres"	"state variable"
"6 state variables id:4"	"phosres"	"state variable"
"5 state variables id:5"	"phosres"	"state variable"
"5 state variables id:5"	"phosres"	"state variable"
"5 state variables id:5"	"phosres"	"state variable"
"5 state variables id:5"	"phosres"	"state variable"
"5 state variables id:5"	"phosres"	"state variable"
"5 state variables id:6"	"phosres"	"state variable"
"5 state variables id:6"	"phosres"	"state variable"
"5 state variables id:6"	"phosres"	"state variable"
"5 state variables id:6"	"phosres"	"state variable"
"5 state variables id:6"	"phosres"	"state variable"
"6 state variables id:7"	"phosres"	"state variable"
"6 state variables id:7"	"phosres"	"state variable"
"6 state variables id:7"	"phosres"	"state variable"
"6 state variables id:7"	"phosres"	"state variable"
"6 state variables id:7"	"phosres"	"state variable"
"6 state variables id:7"	"phosres"	"state variable"
"6 state variables id:8"	"phosres"	"state variable"
"6 state variables id:8"	"phosres"	"state variable"
"6 state variables id:8"	"phosres"	"state variable"
"6 state variables id:8"	"phosres"	"state variable"
"6 state variables id:8"	"phosres"	"state variable"
"6 state variables id:8"	"phosres"	"state variable"
"5 state variables id:9"	"phosres"	"state variable"
"5 state variables id:9"	"phosres"	"state variable"
"5 state variables id:9"	"phosres"	"state variable"
"5 state variables id:9"	"phosres"	"state variable"
"5 state variables id:9"	"phosres"	"state variable"
"5 state variables id:10"	"phosres"	"state variable"
"5 state variables id:10"	"phosres"	"state variable"
"5 state variables id:10"	"phosres"	"state variable"
"5 state variables id:10"	"phosres"	"state variable"
"5 state variables id:10"	"phosres"	"state variable"
