"id"	"label"	"class"
"6 state variables id:1"	"P@Y925"	"state variable"
"6 state variables id:1"	"P@Y577"	"state variable"
"6 state variables id:1"	"P@Y407"	"state variable"
"6 state variables id:1"	"P@Y397"	"state variable"
"6 state variables id:1"	"P@Y861"	"state variable"
"6 state variables id:1"	"P@Y576"	"state variable"
"7 state variables id:2"	"P@Y925"	"state variable"
"7 state variables id:2"	"P@Y577"	"state variable"
"7 state variables id:2"	"P@Y407"	"state variable"
"7 state variables id:2"	"Act"	"state variable"
"7 state variables id:2"	"P@Y397"	"state variable"
"7 state variables id:2"	"P@Y861"	"state variable"
"7 state variables id:2"	"P@Y576"	"state variable"
"7 state variables id:3"	"P@Y925"	"state variable"
"7 state variables id:3"	"P@Y577"	"state variable"
"7 state variables id:3"	"P@Y407"	"state variable"
"7 state variables id:3"	"Act"	"state variable"
"7 state variables id:3"	"P@Y397"	"state variable"
"7 state variables id:3"	"P@Y861"	"state variable"
"7 state variables id:3"	"P@Y576"	"state variable"
"7 state variables id:4"	"P@Y925"	"state variable"
"7 state variables id:4"	"P@Y577"	"state variable"
"7 state variables id:4"	"P@Y407"	"state variable"
"7 state variables id:4"	"Act"	"state variable"
"7 state variables id:4"	"P@Y397"	"state variable"
"7 state variables id:4"	"P@Y861"	"state variable"
"7 state variables id:4"	"P@Y576"	"state variable"
"7 state variables id:5"	"P@Y925"	"state variable"
"7 state variables id:5"	"P@Y577"	"state variable"
"7 state variables id:5"	"P@Y407"	"state variable"
"7 state variables id:5"	"Act"	"state variable"
"7 state variables id:5"	"P@Y397"	"state variable"
"7 state variables id:5"	"P@Y861"	"state variable"
"7 state variables id:5"	"P@Y576"	"state variable"
"7 state variables id:6"	"P@Y925"	"state variable"
"7 state variables id:6"	"P@Y577"	"state variable"
"7 state variables id:6"	"P@Y407"	"state variable"
"7 state variables id:6"	"Act"	"state variable"
"7 state variables id:6"	"P@Y397"	"state variable"
"7 state variables id:6"	"P@Y861"	"state variable"
"7 state variables id:6"	"P@Y576"	"state variable"
"7 state variables id:7"	"P@Y925"	"state variable"
"7 state variables id:7"	"P@Y577"	"state variable"
"7 state variables id:7"	"P@Y407"	"state variable"
"7 state variables id:7"	"Act"	"state variable"
"7 state variables id:7"	"P@Y397"	"state variable"
"7 state variables id:7"	"P@Y861"	"state variable"
"7 state variables id:7"	"P@Y576"	"state variable"
"7 state variables id:8"	"P@Y925"	"state variable"
"7 state variables id:8"	"P@Y577"	"state variable"
"7 state variables id:8"	"P@Y407"	"state variable"
"7 state variables id:8"	"Act"	"state variable"
"7 state variables id:8"	"P@Y397"	"state variable"
"7 state variables id:8"	"P@Y861"	"state variable"
"7 state variables id:8"	"P@Y576"	"state variable"
"7 state variables id:9"	"P@Y925"	"state variable"
"7 state variables id:9"	"P@Y577"	"state variable"
"7 state variables id:9"	"P@Y407"	"state variable"
"7 state variables id:9"	"Act"	"state variable"
"7 state variables id:9"	"P@Y397"	"state variable"
"7 state variables id:9"	"P@Y861"	"state variable"
"7 state variables id:9"	"P@Y576"	"state variable"
"7 state variables id:10"	"P@Y925"	"state variable"
"7 state variables id:10"	"P@Y577"	"state variable"
"7 state variables id:10"	"P@Y407"	"state variable"
"7 state variables id:10"	"Act"	"state variable"
"7 state variables id:10"	"P@Y397"	"state variable"
"7 state variables id:10"	"P@Y861"	"state variable"
"7 state variables id:10"	"P@Y576"	"state variable"
"7 state variables id:11"	"P@Y925"	"state variable"
"7 state variables id:11"	"P@Y577"	"state variable"
"7 state variables id:11"	"P@Y407"	"state variable"
"7 state variables id:11"	"Act"	"state variable"
"7 state variables id:11"	"P@Y397"	"state variable"
"7 state variables id:11"	"P@Y861"	"state variable"
"7 state variables id:11"	"P@Y576"	"state variable"
"7 state variables id:12"	"P@Y925"	"state variable"
"7 state variables id:12"	"P@Y577"	"state variable"
"7 state variables id:12"	"P@Y407"	"state variable"
"7 state variables id:12"	"Act"	"state variable"
"7 state variables id:12"	"P@Y397"	"state variable"
"7 state variables id:12"	"P@Y861"	"state variable"
"7 state variables id:12"	"P@Y576"	"state variable"
"7 state variables id:13"	"P@Y925"	"state variable"
"7 state variables id:13"	"P@Y577"	"state variable"
"7 state variables id:13"	"P@Y407"	"state variable"
"7 state variables id:13"	"Act"	"state variable"
"7 state variables id:13"	"P@Y397"	"state variable"
"7 state variables id:13"	"P@Y861"	"state variable"
"7 state variables id:13"	"P@Y576"	"state variable"
"7 state variables id:14"	"P@Y925"	"state variable"
"7 state variables id:14"	"P@Y577"	"state variable"
"7 state variables id:14"	"P@Y407"	"state variable"
"7 state variables id:14"	"Act"	"state variable"
"7 state variables id:14"	"P@Y397"	"state variable"
"7 state variables id:14"	"P@Y861"	"state variable"
"7 state variables id:14"	"P@Y576"	"state variable"
"7 state variables id:15"	"P@Y925"	"state variable"
"7 state variables id:15"	"P@Y577"	"state variable"
"7 state variables id:15"	"P@Y407"	"state variable"
"7 state variables id:15"	"Act"	"state variable"
"7 state variables id:15"	"P@Y397"	"state variable"
"7 state variables id:15"	"P@Y861"	"state variable"
"7 state variables id:15"	"P@Y576"	"state variable"
"7 state variables id:16"	"P@Y925"	"state variable"
"7 state variables id:16"	"P@Y577"	"state variable"
"7 state variables id:16"	"P@Y407"	"state variable"
"7 state variables id:16"	"Act"	"state variable"
"7 state variables id:16"	"P@Y397"	"state variable"
"7 state variables id:16"	"P@Y861"	"state variable"
"7 state variables id:16"	"P@Y576"	"state variable"
"7 state variables id:17"	"P@Y925"	"state variable"
"7 state variables id:17"	"P@Y577"	"state variable"
"7 state variables id:17"	"P@Y407"	"state variable"
"7 state variables id:17"	"Act"	"state variable"
"7 state variables id:17"	"P@Y397"	"state variable"
"7 state variables id:17"	"P@Y861"	"state variable"
"7 state variables id:17"	"P@Y576"	"state variable"
