"id"	"label"	"class"
"6 state variables id:1"	"Ina"	"state variable"
"6 state variables id:1"	"P@T642"	"state variable"
"6 state variables id:1"	"P@S318"	"state variable"
"6 state variables id:1"	"P@S570"	"state variable"
"6 state variables id:1"	"P@T751"	"state variable"
"6 state variables id:1"	"P@S588"	"state variable"
"10 state variables id:2"	"x[763 - 1382]"	"state variable"
"10 state variables id:2"	"P@Y1355"	"state variable"
"10 state variables id:2"	"P@Y1011"	"state variable"
"10 state variables id:2"	"P@Y1189"	"state variable"
"10 state variables id:2"	"P@Y999"	"state variable"
"10 state variables id:2"	"Act"	"state variable"
"10 state variables id:2"	"P@Y1190"	"state variable"
"10 state variables id:2"	"P@Y992"	"state variable"
"10 state variables id:2"	"P@Y1185"	"state variable"
"10 state variables id:2"	"P@Y1361"	"state variable"
"5 state variables id:3"	"P@T642"	"state variable"
"5 state variables id:3"	"P@S318"	"state variable"
"5 state variables id:3"	"P@S570"	"state variable"
"5 state variables id:3"	"P@S588"	"state variable"
"5 state variables id:3"	"P@T751"	"state variable"
"6 state variables id:4"	"Ina"	"state variable"
"6 state variables id:4"	"P@T642"	"state variable"
"6 state variables id:4"	"P@S318"	"state variable"
"6 state variables id:4"	"P@S570"	"state variable"
"6 state variables id:4"	"P@T751"	"state variable"
"6 state variables id:4"	"P@S588"	"state variable"
