"id"	"label"	"class"
"8 state variables id:1"	"Act"	"state variable"
"8 state variables id:1"	"P@S56"	"state variable"
"8 state variables id:1"	"sumoylated lysine@895"	"state variable"
"8 state variables id:1"	"P@T116"	"state variable"
"8 state variables id:1"	"P@S168"	"state variable"
"8 state variables id:1"	"P@S243"	"state variable"
"8 state variables id:1"	"sumoylated lysine@682"	"state variable"
"8 state variables id:1"	"P@S53"	"state variable"
"18 state variables id:2"	"P@S56"	"state variable"
"18 state variables id:2"	"P@S326"	"state variable"
"18 state variables id:2"	"P@S274"	"state variable"
"18 state variables id:2"	"P@S180"	"state variable"
"18 state variables id:2"	"P@S243"	"state variable"
"18 state variables id:2"	"P@S53"	"state variable"
"18 state variables id:2"	"P@S174"	"state variable"
"18 state variables id:2"	"P@S213"	"state variable"
"18 state variables id:2"	"P@S110"	"state variable"
"18 state variables id:2"	"P@S280"	"state variable"
"18 state variables id:2"	"P@S171"	"state variable"
"18 state variables id:2"	"P@S276"	"state variable"
"18 state variables id:2"	"P@S221"	"state variable"
"18 state variables id:2"	"P@S172"	"state variable"
"18 state variables id:2"	"P@S177"	"state variable"
"18 state variables id:2"	"P@S217"	"state variable"
"18 state variables id:2"	"P@S268"	"state variable"
"18 state variables id:2"	"P@S175"	"state variable"
"5 state variables id:3"	"P@T210"	"state variable"
"5 state variables id:3"	"P@S211"	"state variable"
"5 state variables id:3"	"P@T204"	"state variable"
"5 state variables id:3"	"P@S207"	"state variable"
"5 state variables id:3"	"P@S215"	"state variable"
"19 state variables id:4"	"P@S56"	"state variable"
"19 state variables id:4"	"P@S326"	"state variable"
"19 state variables id:4"	"P@S274"	"state variable"
"19 state variables id:4"	"P@S180"	"state variable"
"19 state variables id:4"	"P@S243"	"state variable"
"19 state variables id:4"	"P@S53"	"state variable"
"19 state variables id:4"	"P@S174"	"state variable"
"19 state variables id:4"	"P@S213"	"state variable"
"19 state variables id:4"	"Ina"	"state variable"
"19 state variables id:4"	"P@S110"	"state variable"
"19 state variables id:4"	"P@S280"	"state variable"
"19 state variables id:4"	"P@S171"	"state variable"
"19 state variables id:4"	"P@S276"	"state variable"
"19 state variables id:4"	"P@S221"	"state variable"
"19 state variables id:4"	"P@S172"	"state variable"
"19 state variables id:4"	"P@S177"	"state variable"
"19 state variables id:4"	"P@S217"	"state variable"
"19 state variables id:4"	"P@S268"	"state variable"
"19 state variables id:4"	"P@S175"	"state variable"
"14 state variables id:5"	"P@S237"	"state variable"
"14 state variables id:5"	"P@S282"	"state variable"
"14 state variables id:5"	"P@T214"	"state variable"
"14 state variables id:5"	"P@S290"	"state variable"
"14 state variables id:5"	"P@S245"	"state variable"
"14 state variables id:5"	"P@S278"	"state variable"
"14 state variables id:5"	"P@S286"	"state variable"
"14 state variables id:5"	"P@S233"	"state variable"
"14 state variables id:5"	"P@S299"	"state variable"
"14 state variables id:5"	"P@T215"	"state variable"
"14 state variables id:5"	"P@S294"	"state variable"
"14 state variables id:5"	"P@S269"	"state variable"
"14 state variables id:5"	"Ina"	"state variable"
"14 state variables id:5"	"P@S187"	"state variable"
"6 state variables id:6"	"Act"	"state variable"
"6 state variables id:6"	"P@S56"	"state variable"
"6 state variables id:6"	"P@T116"	"state variable"
"6 state variables id:6"	"P@S168"	"state variable"
"6 state variables id:6"	"P@S243"	"state variable"
"6 state variables id:6"	"P@S53"	"state variable"
"10 state variables id:7"	"P@S299"	"state variable"
"10 state variables id:7"	"P@S237"	"state variable"
"10 state variables id:7"	"P@S294"	"state variable"
"10 state variables id:7"	"P@S282"	"state variable"
"10 state variables id:7"	"P@S269"	"state variable"
"10 state variables id:7"	"P@S290"	"state variable"
"10 state variables id:7"	"P@S245"	"state variable"
"10 state variables id:7"	"P@S278"	"state variable"
"10 state variables id:7"	"P@S286"	"state variable"
"10 state variables id:7"	"P@S233"	"state variable"
"6 state variables id:8"	"P@S56"	"state variable"
"6 state variables id:8"	"P@T116"	"state variable"
"6 state variables id:8"	"P@S168"	"state variable"
"6 state variables id:8"	"P@S243"	"state variable"
"6 state variables id:8"	"P@S53"	"state variable"
"6 state variables id:8"	"Act"	"state variable"
"18 state variables id:9"	"P@S56"	"state variable"
"18 state variables id:9"	"P@S326"	"state variable"
"18 state variables id:9"	"P@S274"	"state variable"
"18 state variables id:9"	"P@S180"	"state variable"
"18 state variables id:9"	"P@S243"	"state variable"
"18 state variables id:9"	"P@S53"	"state variable"
"18 state variables id:9"	"P@S174"	"state variable"
"18 state variables id:9"	"P@S213"	"state variable"
"18 state variables id:9"	"P@S110"	"state variable"
"18 state variables id:9"	"P@S280"	"state variable"
"18 state variables id:9"	"P@S171"	"state variable"
"18 state variables id:9"	"P@S276"	"state variable"
"18 state variables id:9"	"P@S221"	"state variable"
"18 state variables id:9"	"P@S172"	"state variable"
"18 state variables id:9"	"P@S177"	"state variable"
"18 state variables id:9"	"P@S217"	"state variable"
"18 state variables id:9"	"P@S268"	"state variable"
"18 state variables id:9"	"P@S175"	"state variable"
"8 state variables id:10"	"Act"	"state variable"
"8 state variables id:10"	"P@S56"	"state variable"
"8 state variables id:10"	"sumoylated lysine@895"	"state variable"
"8 state variables id:10"	"P@T116"	"state variable"
"8 state variables id:10"	"P@S168"	"state variable"
"8 state variables id:10"	"P@S243"	"state variable"
"8 state variables id:10"	"sumoylated lysine@682"	"state variable"
"8 state variables id:10"	"P@S53"	"state variable"
"13 state variables id:11"	"P@S237"	"state variable"
"13 state variables id:11"	"P@S282"	"state variable"
"13 state variables id:11"	"P@T214"	"state variable"
"13 state variables id:11"	"P@S290"	"state variable"
"13 state variables id:11"	"P@S245"	"state variable"
"13 state variables id:11"	"P@S278"	"state variable"
"13 state variables id:11"	"P@S286"	"state variable"
"13 state variables id:11"	"P@S233"	"state variable"
"13 state variables id:11"	"P@S299"	"state variable"
"13 state variables id:11"	"P@T215"	"state variable"
"13 state variables id:11"	"P@S294"	"state variable"
"13 state variables id:11"	"P@S269"	"state variable"
"13 state variables id:11"	"P@S187"	"state variable"
