"id"	"label"	"class"
"5 state variables id:1"	"P@S409"	"state variable"
"5 state variables id:1"	"P@Y424"	"state variable"
"5 state variables id:1"	"P@Y259"	"state variable"
"5 state variables id:1"	"P@Y336"	"state variable"
"5 state variables id:1"	"P@S213"	"state variable"
"5 state variables id:2"	"P@S409"	"state variable"
"5 state variables id:2"	"P@Y424"	"state variable"
"5 state variables id:2"	"P@Y259"	"state variable"
"5 state variables id:2"	"P@Y336"	"state variable"
"5 state variables id:2"	"P@S213"	"state variable"
"5 state variables id:3"	"P@S409"	"state variable"
"5 state variables id:3"	"P@Y424"	"state variable"
"5 state variables id:3"	"P@Y259"	"state variable"
"5 state variables id:3"	"P@Y336"	"state variable"
"5 state variables id:3"	"P@S213"	"state variable"
"5 state variables id:4"	"P@S409"	"state variable"
"5 state variables id:4"	"P@Y424"	"state variable"
"5 state variables id:4"	"P@Y259"	"state variable"
"5 state variables id:4"	"P@Y336"	"state variable"
"5 state variables id:4"	"P@S213"	"state variable"
"5 state variables id:5"	"P@S409"	"state variable"
"5 state variables id:5"	"P@Y424"	"state variable"
"5 state variables id:5"	"P@Y259"	"state variable"
"5 state variables id:5"	"P@Y336"	"state variable"
"5 state variables id:5"	"P@S213"	"state variable"
"5 state variables id:6"	"P@S409"	"state variable"
"5 state variables id:6"	"P@Y424"	"state variable"
"5 state variables id:6"	"P@Y259"	"state variable"
"5 state variables id:6"	"P@Y336"	"state variable"
"5 state variables id:6"	"P@S213"	"state variable"
"5 state variables id:7"	"P@S409"	"state variable"
"5 state variables id:7"	"P@Y424"	"state variable"
"5 state variables id:7"	"P@Y259"	"state variable"
"5 state variables id:7"	"P@Y336"	"state variable"
"5 state variables id:7"	"P@S213"	"state variable"
"5 state variables id:8"	"P@S409"	"state variable"
"5 state variables id:8"	"P@Y424"	"state variable"
"5 state variables id:8"	"P@Y259"	"state variable"
"5 state variables id:8"	"P@Y336"	"state variable"
"5 state variables id:8"	"P@S213"	"state variable"
