"id"	"label"	"class"
"5 state variables id:1"	"phosphorylated"	"state variable"
"5 state variables id:1"	"phosphorylated"	"state variable"
"5 state variables id:1"	"phosphorylated"	"state variable"
"5 state variables id:1"	"phosphorylated"	"state variable"
"5 state variables id:1"	"phosphorylated"	"state variable"
"5 state variables id:2"	"phosphorylated"	"state variable"
"5 state variables id:2"	"phosphorylated"	"state variable"
"5 state variables id:2"	"phosphorylated"	"state variable"
"5 state variables id:2"	"phosphorylated"	"state variable"
"5 state variables id:2"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:3"	"phosphorylated"	"state variable"
"5 state variables id:4"	"phosphorylated@472"	"state variable"
"5 state variables id:4"	"phosphorylated@783"	"state variable"
"5 state variables id:4"	"phosphorylated@775"	"state variable"
"5 state variables id:4"	"phosphorylated@771"	"state variable"
"5 state variables id:4"	"phosphorylated@1254"	"state variable"
"5 state variables id:5"	"phosphorylated@775"	"state variable"
"5 state variables id:5"	"phosphorylated@771"	"state variable"
"5 state variables id:5"	"phosphorylated@1254"	"state variable"
"5 state variables id:5"	"phosphorylated@472"	"state variable"
"5 state variables id:5"	"phosphorylated@783"	"state variable"
"5 state variables id:6"	"phosphorylated@1254"	"state variable"
"5 state variables id:6"	"phosphorylated@783"	"state variable"
"5 state variables id:6"	"phosphorylated@771"	"state variable"
"5 state variables id:6"	"phosphorylated@472"	"state variable"
"5 state variables id:6"	"phosphorylated@775"	"state variable"
"5 state variables id:7"	"phosphorylated@1254"	"state variable"
"5 state variables id:7"	"phosphorylated@472"	"state variable"
"5 state variables id:7"	"phosphorylated@783"	"state variable"
"5 state variables id:7"	"phosphorylated@771"	"state variable"
"5 state variables id:7"	"phosphorylated@775"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:8"	"phosphorylated"	"state variable"
"5 state variables id:9"	"phosphorylated"	"state variable"
"5 state variables id:9"	"phosphorylated"	"state variable"
"5 state variables id:9"	"phosphorylated"	"state variable"
"5 state variables id:9"	"phosphorylated"	"state variable"
"5 state variables id:9"	"phosphorylated"	"state variable"
"5 state variables id:10"	"phosphorylated@1254"	"state variable"
"5 state variables id:10"	"phosphorylated@472"	"state variable"
"5 state variables id:10"	"phosphorylated@775"	"state variable"
"5 state variables id:10"	"phosphorylated@783"	"state variable"
"5 state variables id:10"	"phosphorylated@771"	"state variable"
"5 state variables id:11"	"phosphorylated@775"	"state variable"
"5 state variables id:11"	"phosphorylated@783"	"state variable"
"5 state variables id:11"	"phosphorylated@771"	"state variable"
"5 state variables id:11"	"phosphorylated@1254"	"state variable"
"5 state variables id:11"	"phosphorylated@472"	"state variable"
