"id"	"label"	"class"
"8 state variables id:1"	"P@S206"	"state variable"
"8 state variables id:1"	"P@S465"	"state variable"
"8 state variables id:1"	"P@S463"	"state variable"
"8 state variables id:1"	"Ina"	"state variable"
"8 state variables id:1"	"P@S195"	"state variable"
"8 state variables id:1"	"Ub@K"	"state variable"
"8 state variables id:1"	"P@S187"	"state variable"
"8 state variables id:1"	"P@S214"	"state variable"
"7 state variables id:2"	"P@S206"	"state variable"
"7 state variables id:2"	"Act"	"state variable"
"7 state variables id:2"	"P@S465"	"state variable"
"7 state variables id:2"	"P@S463"	"state variable"
"7 state variables id:2"	"P@S195"	"state variable"
"7 state variables id:2"	"P@S187"	"state variable"
"7 state variables id:2"	"P@S214"	"state variable"
