"id"	"label"	"class"
"5 state variables id:1"	"P@T336"	"state variable"
"5 state variables id:1"	"P@S383"	"state variable"
"5 state variables id:1"	"P@S324"	"state variable"
"5 state variables id:1"	"P@S389"	"state variable"
"5 state variables id:1"	"P@S422"	"state variable"
"6 state variables id:2"	"Act"	"state variable"
"6 state variables id:2"	"P@S383"	"state variable"
"6 state variables id:2"	"P@T336"	"state variable"
"6 state variables id:2"	"P@S324"	"state variable"
"6 state variables id:2"	"P@S389"	"state variable"
"6 state variables id:2"	"P@S422"	"state variable"
"7 state variables id:3"	"Act"	"state variable"
"7 state variables id:3"	"P@S380"	"state variable"
"7 state variables id:3"	"P@T573"	"state variable"
"7 state variables id:3"	"P@S221"	"state variable"
"7 state variables id:3"	"P@T359"	"state variable"
"7 state variables id:3"	"P@S732"	"state variable"
"7 state variables id:3"	"P@S363"	"state variable"
