"id"	"label"	"class"
"6 state variables id:1"	"Ina"	"state variable"
"6 state variables id:1"	"Ac@K320"	"state variable"
"6 state variables id:1"	"Ac@K373"	"state variable"
"6 state variables id:1"	"Ac@K381"	"state variable"
"6 state variables id:1"	"Ac@K370"	"state variable"
"6 state variables id:1"	"Ac@K372"	"state variable"
"7 state variables id:2"	"Ac@K382"	"state variable"
"7 state variables id:2"	"Act"	"state variable"
"7 state variables id:2"	"Ac@K320"	"state variable"
"7 state variables id:2"	"Ac@K373"	"state variable"
"7 state variables id:2"	"Ac@K381"	"state variable"
"7 state variables id:2"	"Ac@K370"	"state variable"
"7 state variables id:2"	"Ac@K372"	"state variable"
