"id"	"label"	"class"
"5 state variables id:1"	"P@Y1217"	"state variable"
"5 state variables id:1"	"P@Y1176"	"state variable"
"5 state variables id:1"	"P@Y1152"	"state variable"
"5 state variables id:1"	"Act"	"state variable"
"5 state variables id:1"	"P@Y1193"	"state variable"
"5 state variables id:2"	"P@Y1217"	"state variable"
"5 state variables id:2"	"P@Y1176"	"state variable"
"5 state variables id:2"	"P@Y1152"	"state variable"
"5 state variables id:2"	"Act"	"state variable"
"5 state variables id:2"	"P@Y1193"	"state variable"
"5 state variables id:3"	"P@Y1217"	"state variable"
"5 state variables id:3"	"P@Y1176"	"state variable"
"5 state variables id:3"	"P@Y1152"	"state variable"
"5 state variables id:3"	"Act"	"state variable"
"5 state variables id:3"	"P@Y1193"	"state variable"
"5 state variables id:4"	"P@Y1217"	"state variable"
"5 state variables id:4"	"P@Y1176"	"state variable"
"5 state variables id:4"	"P@Y1152"	"state variable"
"5 state variables id:4"	"Act"	"state variable"
"5 state variables id:4"	"P@Y1193"	"state variable"
"5 state variables id:5"	"P@Y1217"	"state variable"
"5 state variables id:5"	"P@Y1176"	"state variable"
"5 state variables id:5"	"P@Y1152"	"state variable"
"5 state variables id:5"	"Act"	"state variable"
"5 state variables id:5"	"P@Y1193"	"state variable"
"5 state variables id:6"	"P@Y1217"	"state variable"
"5 state variables id:6"	"P@Y1176"	"state variable"
"5 state variables id:6"	"P@Y1152"	"state variable"
"5 state variables id:6"	"Act"	"state variable"
"5 state variables id:6"	"P@Y1193"	"state variable"
