Name_of_pre.generated_SBGN_file	pathway.database	PATHWAY_URI	sub.database	pathway.id	DISPLAY_NAME
http___identifiers.org_panther.pathway_P00001.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00001	panther.pathway	P00001	Adrenaline and noradrenaline biosynthesis
http___identifiers.org_panther.pathway_P00002.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00002	panther.pathway	P00002	Alpha adrenergic receptor signaling pathway
http___identifiers.org_panther.pathway_P00003.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00003	panther.pathway	P00003	Alzheimer disease-amyloid secretase pathway
http___identifiers.org_panther.pathway_P00004.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00004	panther.pathway	P00004	Alzheimer disease-presenilin pathway
http___identifiers.org_panther.pathway_P00005.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00005	panther.pathway	P00005	Angiogenesis
http___identifiers.org_panther.pathway_P00006.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00006	panther.pathway	P00006	Apoptosis signaling pathway
http___identifiers.org_panther.pathway_P00007.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00007	panther.pathway	P00007	Axon guidance mediated by semaphorins
http___identifiers.org_panther.pathway_P00008.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00008	panther.pathway	P00008	Axon guidance mediated by Slit/Robo
http___identifiers.org_panther.pathway_P00009.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00009	panther.pathway	P00009	Axon guidance mediated by netrin
http___identifiers.org_panther.pathway_P00010.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00010	panther.pathway	P00010	B cell activation
http___identifiers.org_panther.pathway_P00011.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00011	panther.pathway	P00011	Blood coagulation
http___identifiers.org_panther.pathway_P00012.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00012	panther.pathway	P00012	Cadherin signaling pathway
http___identifiers.org_panther.pathway_P00013.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00013	panther.pathway	P00013	Cell cycle
http___identifiers.org_panther.pathway_P00014.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00014	panther.pathway	P00014	Cholesterol biosynthesis
http___identifiers.org_panther.pathway_P00015.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00015	panther.pathway	P00015	Circadian clock system
http___identifiers.org_panther.pathway_P00016.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00016	panther.pathway	P00016	Cytoskeletal regulation by Rho GTPase
http___identifiers.org_panther.pathway_P00017.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00017	panther.pathway	P00017	DNA replication
http___identifiers.org_panther.pathway_P00018.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00018	panther.pathway	P00018	EGF receptor signaling pathway
http___identifiers.org_panther.pathway_P00019.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00019	panther.pathway	P00019	untitled
http___identifiers.org_panther.pathway_P00020.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00020	panther.pathway	P00020	FAS signaling pathway
http___identifiers.org_panther.pathway_P00021.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00021	panther.pathway	P00021	FGF signaling pathway
http___identifiers.org_panther.pathway_P00022.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00022	panther.pathway	P00022	General transcription by RNA polymerase I
http___identifiers.org_panther.pathway_P00023.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00023	panther.pathway	P00023	General transcription regulation
http___identifiers.org_panther.pathway_P00024.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00024	panther.pathway	P00024	Glycolysis
http___identifiers.org_panther.pathway_P00025.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00025	panther.pathway	P00025	Hedgehog signaling pathway
http___identifiers.org_panther.pathway_P00026.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00026	panther.pathway	P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway
http___identifiers.org_panther.pathway_P00027.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00027	panther.pathway	P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway
http___identifiers.org_panther.pathway_P00028.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00028	panther.pathway	P00028	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction
http___identifiers.org_panther.pathway_P00029.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00029	panther.pathway	P00029	Huntington disease
http___identifiers.org_panther.pathway_P00030.sbgn	pathwayCommons	http://identifiers.org/panther.pathway/P00030	panther.pathway	P00030	Hypoxia response via HIF activation
