"id"	"label"	"class"
"8 state variables id:1"	"P@S255"	"state variable"
"8 state variables id:1"	"Act"	"state variable"
"8 state variables id:1"	"P@T220"	"state variable"
"8 state variables id:1"	"P@S245"	"state variable"
"8 state variables id:1"	"P@T8"	"state variable"
"8 state variables id:1"	"P@S250"	"state variable"
"8 state variables id:1"	"P@S465"	"state variable"
"8 state variables id:1"	"P@S467"	"state variable"
"7 state variables id:2"	"P@S425"	"state variable"
"7 state variables id:2"	"P@S423"	"state variable"
"7 state variables id:2"	"P@S204"	"state variable"
"7 state variables id:2"	"P@S213"	"state variable"
"7 state variables id:2"	"P@S208"	"state variable"
"7 state variables id:2"	"P@T179"	"state variable"
"7 state variables id:2"	"Act"	"state variable"
