"id"	"label"	"class"
"7 state variables id:1"	"Ub"	"state variable"
"7 state variables id:1"	"P@Y1356"	"state variable"
"7 state variables id:1"	"P@Y1349"	"state variable"
"7 state variables id:1"	"P@Y1235"	"state variable"
"7 state variables id:1"	"P@Y1234"	"state variable"
"7 state variables id:1"	"x[308 - 1390]"	"state variable"
"7 state variables id:1"	"P@Y1003"	"state variable"
"6 state variables id:2"	"P@Y1356"	"state variable"
"6 state variables id:2"	"P@Y1349"	"state variable"
"6 state variables id:2"	"P@Y1235"	"state variable"
"6 state variables id:2"	"P@Y1234"	"state variable"
"6 state variables id:2"	"x[308 - 1390]"	"state variable"
"6 state variables id:2"	"P@Y1003"	"state variable"
"6 state variables id:3"	"P@Y1356"	"state variable"
"6 state variables id:3"	"P@Y1349"	"state variable"
"6 state variables id:3"	"P@Y1235"	"state variable"
"6 state variables id:3"	"P@Y1234"	"state variable"
"6 state variables id:3"	"x[308 - 1390]"	"state variable"
"6 state variables id:3"	"P@Y1003"	"state variable"
"6 state variables id:4"	"P@Y1356"	"state variable"
"6 state variables id:4"	"P@Y1349"	"state variable"
"6 state variables id:4"	"P@Y1235"	"state variable"
"6 state variables id:4"	"P@Y1234"	"state variable"
"6 state variables id:4"	"x[308 - 1390]"	"state variable"
"6 state variables id:4"	"P@Y1003"	"state variable"
"6 state variables id:5"	"P@Y1356"	"state variable"
"6 state variables id:5"	"P@Y1349"	"state variable"
"6 state variables id:5"	"P@Y1235"	"state variable"
"6 state variables id:5"	"P@Y1234"	"state variable"
"6 state variables id:5"	"x[308 - 1390]"	"state variable"
"6 state variables id:5"	"P@Y1003"	"state variable"
"10 state variables id:6"	"P@Y447"	"state variable"
"10 state variables id:6"	"P@Y472"	"state variable"
"10 state variables id:6"	"P@Y627"	"state variable"
"10 state variables id:6"	"P@Y242"	"state variable"
"10 state variables id:6"	"P@Y407"	"state variable"
"10 state variables id:6"	"P@Y373"	"state variable"
"10 state variables id:6"	"P@Y317"	"state variable"
"10 state variables id:6"	"P@Y259"	"state variable"
"10 state variables id:6"	"P@Y589"	"state variable"
"10 state variables id:6"	"P@Y659"	"state variable"
"6 state variables id:7"	"P@Y1356"	"state variable"
"6 state variables id:7"	"P@Y1349"	"state variable"
"6 state variables id:7"	"P@Y1235"	"state variable"
"6 state variables id:7"	"P@Y1234"	"state variable"
"6 state variables id:7"	"x[308 - 1390]"	"state variable"
"6 state variables id:7"	"P@Y1003"	"state variable"
"6 state variables id:8"	"P@Y1356"	"state variable"
"6 state variables id:8"	"P@Y1349"	"state variable"
"6 state variables id:8"	"P@Y1235"	"state variable"
"6 state variables id:8"	"P@Y1234"	"state variable"
