"id"	"label"	"class"
"5 state variables id:1"	"P@S409"	"state variable"
"5 state variables id:1"	"P@Y424"	"state variable"
"5 state variables id:1"	"P@Y259"	"state variable"
"5 state variables id:1"	"P@Y336"	"state variable"
"5 state variables id:1"	"P@S213"	"state variable"
"5 state variables id:2"	"P@S409"	"state variable"
"5 state variables id:2"	"P@Y424"	"state variable"
"5 state variables id:2"	"P@Y259"	"state variable"
"5 state variables id:2"	"P@Y336"	"state variable"
"5 state variables id:2"	"P@S213"	"state variable"
